Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
Mouse;Earth;289,900;295;Blacksmith;62;111,557;3,801;11,253;1,197;-114;214;161;1,632;0;0;Godly Hammer + 20, SSS, Earth gem lv 15;Mythril Armor + 20, SSS (20), Earth gem lv 15;Mythril Ring + 20, SSS (20), Earth gem lv 15;Defense Slot;Yes;;;Yes;
Frog;Water;167,211;279;Supporter;50;34,889;5,505;2,672;3,993;2,322;189;189;-382;0;0;Ocean Spear + 20, SSS (20), Neutral gem lv 15;Ocean Armor + 20, SSS (20), Neutral gem lv 15;Ocean Necklace + 20, SSS (1), Neutral gem lv 15;Water Slot;Yes;;;No;
Bee;Wind;146,512;35;Alchemist;51;2,649;324;219;337;61;9;224;61;0;0;Magic Pot + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;Yes;;Yes;
Cupid;Wind;213,565;37;Adventurer;52;3,689;399;185;609;0;-53;169;156;0;0;Legendary Stick + 10, S (20);none;none;Growth;Yes;Yes;;Yes;
Egg;Wind;217,716;238;Assassin;51;23,139;5,905;1,163;12,356;189;-191;2,192;189;0;0;Sky Bow + 20, SSS (20), Neutral gem lv 15;Sky Armor + 20, SSS, Neutral gem lv 15;Sky Ring + 20, SSS (20), Neutral gem lv 15;Wind Slot;Yes;;;No;
Armadillo;Earth;209,119;280;Defender;73;46,024;1,096;2,065;1,090;0;0;-53;935;0;0;none;none;none;Divinity;Yes;;;No;
Squirrel;Fire;174,088;262;Rogue;80;99,847;15,547;2,587;14,864;238;1,498;416;311;0;0;Bursting Knives + 20, SSS (20);Titanium Armor + 20, SSS (20), Water gem lv 11;Mana Cape + 20, SSS (20), Neutral gem lv 13;Volcano;Yes;Yes;;No;
Rabbit;Earth;435,442;231;Mage;65;14,046;5,267;706;4,193;0;0;-53;780;0;0;none;none;none;Questing, Wizard In Love;Yes;;;No;
Cat;Neutral;245,956;303;Assassin;80;133,921;19,750;4,315;15,054;609;612;933;612;0;0;Exploding Knives + 20, SSS (20), Water gem lv 12;Mythril Armor + 20, SSS (20), Water gem lv 12;Mythril Ring + 20, SSS (20), Water gem lv 12;Scrapyard;Yes;Yes;;Yes;
Dog;Neutral;254,571;332;Defender;80;320,733;6,385;9,900;4,529;640;642;964;643;0;0;Exploding Knives + 20, SSS (20), Water gem lv 12;Mythril Armor + 20, SSS (20), Water gem lv 12;Mythril Ring + 20, SSS (20), Water gem lv 12;Scrapyard;Yes;;;Yes;
Fairy;Wind;241,069;306;Supporter;80;152,939;10,629;6,160;13,971;288;218;1,973;289;0;0;Exploding Knives + 20, SSS (20), Water gem lv 12;Mythril Armor + 20, SSS (20), Water gem lv 12;Mythril Ring + 20, SSS (20), Water gem lv 12;Mountain;Yes;Yes;;Yes;
Dragon;Fire;325,516;209;Mage;54;11,878;4,454;597;3,546;44;808;97;97;0;0;none;none;Alchemist Cape + 20, SSS (20), Neutral gem lv 13;Questing, Wizard In Love;Yes;;;No;
Snake;Water;146,505;1;Alchemist;100;186;24;7;13;151;177;14;-39;0;0;Ego Sword + 20, SSS (20);Inferno Armor + 20, SSS (20), Water gem lv 11;Ear Muffs + 20, SSS;Dojo;Yes;;;No;
Shark;Water;331,081;1;Adventurer;71;180;18;9;18;56;0;0;-53;0;0;none;none;none;Material Factory, producing Nothing;Yes;;;No;
Octopus;Water;146,493;1;Blacksmith;50;141;23;7;5;56;82;0;-53;0;0;Magic Hammer + 20, SSS (20);none;none;Crafting;Yes;Yes;;Yes;
Valkyrie;Wind;258,187;303;Defender;80;303,588;6,043;9,475;4,262;288;218;1,935;289;0;0;Exploding Knives + 20, SS (20), Water gem lv 12;Mythril Armor + 20, SSS (20), Water gem lv 12;Mythril Ring + 20, SSS (20), Water gem lv 12;Mountain;Yes;;;No;
